Country,Total_cases,New_cases,Total_deaths,New_Deaths,Total_recovered,New_recovered,Active_cases,Serious_critical,Cases/1Mpop,Deaths/1Mpop,Total_tests,Tests/1Mpop,Population,Area
USA,"105,511,276","+14,194","1,147,974",145.0,"102,974,672","+76,302","1,388,630","2,567","315,142","3,429","1,167,935,950","3,488,404","334,805,269",North America
India,"44,688,693",+326,"530,775",,"44,154,842",+220,"3,076",,"31,770",377,"919,314,929","653,558","1,406,631,776",Asia
Germany,"38,231,610","+9,947","168,709",126.0,"37,788,200","+20,900","274,701",,"455,770","2,011","122,332,384","1,458,359","83,883,596",Europe
Japan,"33,276,657","+12,014","72,840",35.0,"21,695,714",+828,"11,508,103",124,"264,974",580,"95,732,132","762,291","125,584,838",Asia
Italy,"25,603,510",,"188,322",,"25,267,118",,"148,070",137,"424,864","3,125","268,196,399","4,450,449","60,262,770",Europe
Russia,"22,363,740","+10,449","396,378",42.0,"21,700,795","+14,373","266,567",,"153,380","2,719","273,400,000","1,875,095","145,805,947",Europe
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Argentina,"10,044,125",,"130,463",,"9,911,673","+1,807","1,989",363,"218,302","2,836","35,716,069","776,264","46,010,234",South America
Iran,"7,571,352",+609,"144,907",5.0,"7,339,869",+73,"86,576",354,"88,016","1,685","55,353,767","643,478","86,022,837",Asia
Indonesia,"6,737,606",+303,"160,934",2.0,"6,573,749",+346,"2,923",,"24,137",577,"114,158,919","408,975","279,134,505",Asia
Colombia,"6,360,089",,"142,629",,"6,183,658",,"33,802",342,"123,466","2,769","36,951,507","717,327","51,512,762",South America
Greece,"5,871,458",,"36,185",,"5,819,562","+2,618","15,711",115,"569,125","3,507","102,228,365","9,909,078","10,316,637",Europe
Ukraine,"5,399,231",,"111,298",,"5,265,577",,"22,356",,"125,005","2,577","32,603,805","754,855","43,192,122",Europe
Malaysia,"5,044,204",+226,"36,966",,"4,998,003",+202,"9,235",4,"152,021","1,114","68,268,320","2,057,448","33,181,072",Asia
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia
Belgium,"4,727,795",,"33,775",,"4,663,213",+793,"30,807",43,"405,184","2,895","36,752,058","3,149,741","11,668,278",Europe
Canada,"4,600,615",,"51,447",,"4,511,155","+2,971","38,013",99,"119,844","1,340","66,343,123","1,728,207","38,388,419",North America
Switzerland,"4,392,464","+1,457","14,452",,"4,373,026",,"4,986",39,"500,643","1,647","23,833,472","2,716,487","8,773,637",Europe
South Africa,"4,066,044",+187,"102,595",,"3,912,506",,"50,943",192,"66,924","1,689","26,795,090","441,027","60,756,135",Africa
Denmark,"3,175,655",+101,"8,285",1.0,"3,166,474",+77,896,19,"544,247","1,420","129,205,099","22,143,309","5,834,950",Europe
Sweden,"2,699,186",+152,"23,749",,"2,671,893",+108,"3,544",8,"264,135","2,324","19,477,620","1,906,026","10,218,971",Europe
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia
New Zealand,"2,228,291",,"3,922",,"2,214,316",,"10,053",,"454,920",801,"7,768,604","1,586,011","4,898,203",Australia/Oceania
Bangladesh,"2,037,829",,"29,445",,"1,998,448",,"9,936",,"12,138",175,"15,254,399","90,862","167,885,689",Asia
Georgia,"1,827,537",,"16,971",,"1,776,548",,"34,018",,"460,483","4,276","16,920,079","4,263,340","3,968,738",Asia
Ireland,"1,703,850",,"8,691",,"1,692,873",+10,"2,286",9,"339,399","1,731","13,037,474","2,597,003","5,020,199",Europe
Norway,"1,479,392",+58,"5,213",,"1,473,421",+25,758,20,"268,425",946,"11,002,430","1,996,315","5,511,370",Europe
Kazakhstan,"1,408,124",,"13,846",,"1,383,020",,"11,258",24,"73,321",721,"11,575,012","602,707","19,205,043",Asia
Lithuania,"1,307,044",+657,"9,596",2.0,"1,291,423",+373,"6,025",6,"491,055","3,605","10,385,652","3,901,875","2,661,708",Europe
Morocco,"1,272,490",,"16,296",,"1,256,151",,43,3,"33,688",431,"12,992,640","343,969","37,772,756",Africa
Guatemala,"1,237,789",+214,"20,180",2.0,"1,216,584",+234,"1,025",5,"66,605","1,086","6,963,247","374,690","18,584,039",North America
Costa Rica,"1,204,164",,"9,230",,"860,711",,"334,223",52,"232,358","1,781","4,659,757","899,158","5,182,354",North America
Tunisia,"1,151,126",+164,"29,341",10.0,,,,44,"95,556","2,436","5,003,083","415,309","12,046,656",Africa
Ecuador,"1,057,121",,"36,014",,"1,020,564",,543,759,"58,361","1,988","3,082,403","170,173","18,113,361",South America
Uruguay,"1,034,303",,"7,617",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016",South America
Mongolia,"1,007,897",,"2,179",,"1,005,716",,2,192,"298,364",645,"4,030,048","1,193,000","3,378,078",Asia
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe
Saudi Arabia,"829,955",+73,"9,618",1.0,"817,079",+76,"3,258",40,"23,154",268,"45,167,469","1,260,080","35,844,909",Asia
Paraguay,"808,401",,"19,878",,,,,7,"110,651","2,721","2,657,506","363,751","7,305,843",South America
Sri Lanka,"672,036",+2,"16,830",,"655,202",,4,,"31,148",780,"6,486,117","300,619","21,575,842",Asia
Dominican Republic,"660,705",,"4,384",,"644,785",,"11,536",4,"59,758",397,"3,740,928","338,350","11,056,370",North America
Myanmar,"633,949",+2,"19,490",,"614,416",+5,43,,"11,479",353,"10,080,484","182,528","55,227,143",Asia
Estonia,"615,423",+305,"2,946",6.0,"524,990",,"87,487",5,"465,556","2,229","3,679,061","2,783,140","1,321,910",Europe
Venezuela,"552,157",+3,"5,854",,"545,924",+3,379,36,"18,866",200,"3,359,014","114,771","29,266,991",South America
Libya,"507,187",,"6,437",,"500,737",,13,,"72,036",914,"2,483,812","352,777","7,040,745",Africa
Ethiopia,"500,085",+25,"7,572",,"487,343",+27,"5,170",1,"4,139",63,"5,495,411","45,487","120,812,698",Africa
Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa
Armenia,"446,819",,"8,721",,"435,162",,"2,936",,"150,345","2,934","3,242,901","1,091,164","2,971,966",Asia
Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia
Zambia,"343,135",,"4,057",,"338,854",,224,,"17,624",208,"3,943,335","202,531","19,470,234",Africa
Albania,"334,427",,"3,597",,"329,169",,"1,661",,"116,672","1,255","1,941,032","677,173","2,866,374",Europe
Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371",Europe
Brunei,"279,661",,225,,"243,601",,"35,835",,"627,844",505,"717,784","1,611,437","445,431",Asia
Nigeria,"266,598",,"3,155",,"259,917",,"3,526",11,"1,230",15,"5,708,974","26,339","216,746,934",Africa
Uzbekistan,"251,071",,"1,637",,"241,486",,"7,948",23,"7,302",48,"1,377,915","40,077","34,382,084",Asia
Martinique,"229,807",,"1,098",,,,,12,"614,314","2,935","828,928","2,215,870","374,087",North America
Afghanistan,"209,441",+26,"7,896",,"191,262",+19,"10,283",45,"5,139",194,"1,203,414","29,528","40,754,388",Asia
Kyrgyzstan,"206,673",,"2,991",,"196,406",,"7,276",131,"30,717",445,"1,907,195","283,460","6,728,271",Asia
El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389",North America
Maldives,"185,738",,311,,"163,687",,"21,740",25,"343,333",575,"2,213,831","4,092,223","540,985",Asia
Namibia,"171,156",,"4,090",,"166,776",,290,,"64,983","1,553","1,062,663","403,460","2,633,874",Africa
Jamaica,"154,196",,"3,502",,"102,393",,"48,301",,"51,655","1,173","1,183,986","396,633","2,985,094",North America
Rwanda,"133,180",,"1,468",,"131,634",,78,,"9,792",108,"6,021,981","442,778","13,600,464",Africa
Malta,"117,610",,828,,"116,117",,665,4,"264,868","1,865","2,119,315","4,772,877","444,033",Europe
Angola,"105,277",,"1,933",,"103,317",,27,,"3,006",55,"1,499,795","42,818","35,027,343",Africa
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169",South America
Senegal,"88,921",,"1,971",,"86,947",,3,,"5,037",112,"1,146,543","64,946","17,653,671",Africa
Ivory Coast,"88,255",+9,834,,"87,397",+12,24,,"3,181",30,"1,680,848","60,588","27,742,298",Africa
